EstablishmentSize,EstablishmentSizeNum,EstablishmentSizeDesc,FirmSize,FirmSizeNum,FirmSizeDesc
e1,1,1--4,f1,1,0--4
e2,2,5--9,f2,2,5--9
e3,3,10--19,f3,3,10--14
e3,3,10--19,f4,4,15--19
e4,4,20--49,f5,5,20--24
e4,4,20--49,f6,6,25--29
e4,4,20--49,f7,7,30--34
e4,4,20--49,f8,8,35--39
e4,4,20--49,f9,9,40--49
e5,5,50--99,f10,10,50--74
e5,5,50--99,f11,11,75--99
e6,6,100--249,f12,12,100--149
e6,6,100--249,f13,13,150--199
e7,7,250--499,f14,14,200--299
e7,7,250--499,f15,15,300--399
e7,7,250--499,f16,16,400--499
e8,8,500--999,f17,17,500--749
e8,8,500--999,f18,18,750--999
e9,9,1000--1499,f19,19,1000--1499
e10,10,1500--2499,f20,20,1500--1999
e10,10,1500--2499,f21,21,2000--2499
e11,11,2500--4999,f22,22,2500--4999
e12,12,5000--,f23,23,"5,000+"
