NAICS6_Make,NAICS6_Use,ProVal
1111A0,1111A0,2539.226115
111900,1111A0,443.393219
1121A0,1111A0,37.71127894
112300,1111A0,10.28489426
112A00,1111A0,23.9980866
115000,1111A0,2706.793427
212310,1111A0,50.53397064
2123A0,1111A0,0.935814271
221100,1111A0,153.7544978
221200,1111A0,42.93145069
221300,1111A0,253.5950808
230301,1111A0,383.8299401
321910,1111A0,3.73877551
3219A0,1111A0,1.869387755
327330,1111A0,1
327400,1111A0,1
331200,1111A0,8.210526316
332200,1111A0,63.88367129
332310,1111A0,27.20971185
332710,1111A0,3.54909285
332999,1111A0,9.464247599
333111,1111A0,413.363109
33391A,1111A0,8.505413766
333920,1111A0,7.65487239
333991,1111A0,6.804331013
33399A,1111A0,5.953789637
335312,1111A0,10.10137875
335911,1111A0,286.8791565
336310,1111A0,8.628081458
336320,1111A0,73.95498392
336360,1111A0,3.697749196
336390,1111A0,56.69882101
339990,1111A0,5.687022901
322291,1111A0,5.029126214
323110,1111A0,2.464285714
324110,1111A0,865.8779739
324190,1111A0,6.255052443
325180,1111A0,126.8547002
325310,1111A0,1297.566051
325320,1111A0,1308.344555
3259A0,1111A0,16.58231375
326190,1111A0,42.12859767
326210,1111A0,88.26944274
326220,1111A0,8.024494795
423100,1111A0,48.99931082
423400,1111A0,5.157822192
423600,1111A0,39.97312198
423800,1111A0,256.601654
423A00,1111A0,51.57822192
424400,1111A0,6.447277739
424700,1111A0,202.444521
424A00,1111A0,2038.629221
425000,1111A0,24.49965541
445000,1111A0,5
452000,1111A0,8
444000,1111A0,10
447000,1111A0,67
454000,1111A0,2
4B0000,1111A0,1
481000,1111A0,2
482000,1111A0,110
483000,1111A0,47
484000,1111A0,620
486000,1111A0,10
493000,1111A0,179.4320988
511120,1111A0,4.537037037
517110,1111A0,30.39252336
517210,1111A0,36.47102804
517A00,1111A0,6.078504673
522A00,1111A0,20.59190031
52A000,1111A0,152.3800623
523900,1111A0,14.77351916
5241XX,1111A0,160.5330012
524200,1111A0,39.10419261
531ORE,1111A0,3829.841734
532100,1111A0,256.7397087
532400,1111A0,281.4262191
533000,1111A0,9.87460418
541100,1111A0,27.50629723
541512,1111A0,1.182662539
54151A,1111A0,2.365325077
541200,1111A0,156.4480103
541300,1111A0,4.670089859
541610,1111A0,1.167522465
561300,1111A0,1.060606061
561700,1111A0,25.45454545
561100,1111A0,1.060606061
561400,1111A0,2.121212121
562000,1111A0,31.33054393
611A00,1111A0,1.071428571
711100,1111A0,4.754716981
711200,1111A0,7.132075472
713900,1111A0,2.217391304
722110,1111A0,33.6
722211,1111A0,6.3
722A00,1111A0,8.4
811100,1111A0,26.63934426
811200,1111A0,12.29508197
811300,1111A0,3.073770492
813B00,1111A0,71.72131148
491000,1111A0,2.210526316
S00300,1111A0,160.8592911
1111A0,1111B0,147.4168177
1111B0,1111B0,7707.956861
111900,1111B0,151.9878818
1121A0,1111B0,223.9821416
112A00,1111B0,133.7036253
115000,1111B0,10393.70522
212310,1111B0,308.8187095
2123A0,1111B0,864.6923865
221100,1111B0,159.7449328
221200,1111B0,469.2507402
221300,1111B0,703.8761102
230301,1111B0,517.4670659
3219A0,1111B0,5.608163265
331200,1111B0,40.02631579
332200,1111B0,138.4146211
332310,1111B0,16.5624333
332710,1111B0,16.5624333
332999,1111B0,26.0266809
333111,1111B0,1128.668407
333920,1111B0,5.953789637
333991,1111B0,10.20649652
33399A,1111B0,17.01082753
334118,1111B0,3.711538462
335312,1111B0,28.2838605
335911,1111B0,814.1711273
336310,1111B0,23.41907824
336320,1111B0,173.7942122
336360,1111B0,8.628081458
336390,1111B0,155.3054662
339990,1111B0,13.64885496
313100,1111B0,50.05415162
314900,1111B0,2.129963899
322210,1111B0,1.676375405
322230,1111B0,5.029126214
322291,1111B0,5.029126214
323110,1111B0,4.928571429
324110,1111B0,2612.824763
325180,1111B0,178.2598728
325310,1111B0,7960.339717
325320,1111B0,4458.155052
3259A0,1111B0,46.43047851
326110,1111B0,8.024494795
326120,1111B0,147.4500919
326190,1111B0,70.21432945
326210,1111B0,247.7562768
326220,1111B0,23.07042254
423100,1111B0,132.8139214
423400,1111B0,10.31564438
423600,1111B0,110.8931771
423800,1111B0,713.068918
423A00,1111B0,215.3390765
424400,1111B0,19.34183322
424700,1111B0,585.4128187
424A00,1111B0,9509.734666
425000,1111B0,77.36733287
441000,1111B0,1
445000,1111B0,17
452000,1111B0,25
444000,1111B0,17
447000,1111B0,250
454000,1111B0,5
4B0000,1111B0,2
481000,1111B0,19
482000,1111B0,601
483000,1111B0,262
484000,1111B0,2197.125
486000,1111B0,47
493000,1111B0,28.66666667
511120,1111B0,6.351851852
511200,1111B0,9.074074074
517110,1111B0,26.34018692
517210,1111B0,49.6411215
517A00,1111B0,2.026168224
522A00,1111B0,15.44392523
52A000,1111B0,458.1697819
523900,1111B0,22.16027875
523A00,1111B0,30.47038328
5241XX,1111B0,255.2063097
524200,1111B0,26.75550021
531ORE,1111B0,13977.69663
532100,1111B0,350.5484484
532400,1111B0,655.4268524
533000,1111B0,43.20139329
541100,1111B0,85.26952141
541512,1111B0,59.13312693
54151A,1111B0,80.42105263
541200,1111B0,205.4839538
541800,1111B0,1.167522465
5419A0,1111B0,137.7676508
561700,1111B0,184.5454545
561400,1111B0,4.242424242
561500,1111B0,3.181818182
561900,1111B0,1.060606061
562000,1111B0,58.74476987
611A00,1111B0,6.428571429
711100,1111B0,3.566037736
711200,1111B0,9.509433962
713900,1111B0,2.956521739
722110,1111B0,116.55
722211,1111B0,8.4
722A00,1111B0,11.55
811100,1111B0,50.20491803
811200,1111B0,23.56557377
811300,1111B0,7.172131148
813B00,1111B0,14.3442623
491000,1111B0,4.421052632
S00300,1111B0,333.0290011
1111A0,111200,3.428298085
111200,111200,739.3696204
1121A0,111200,3.428298085
112A00,111200,1.142766028
115000,111200,1243.174898
212310,111200,21.52372823
2123A0,111200,0.935814271
221100,111200,114.8166705
221200,111200,14.97608745
221300,111200,120.8071054
230301,111200,113.5413174
3219A0,111200,145.8122449
331200,111200,3.078947368
332200,111200,20.11152615
332310,111200,2.3660619
332710,111200,1.18303095
332999,111200,2.3660619
333111,111200,64.64114462
333920,111200,0.850541377
333991,111200,1.701082753
33399A,111200,0.850541377
335312,111200,2.02027575
335911,111200,52.52716951
336310,111200,1.232583065
336320,111200,16.02357985
336360,111200,1.232583065
336390,111200,9.860664523
339990,111200,1.13740458
314900,111200,51.11913357
322210,111200,70.40776699
322220,111200,95.55339806
323110,111200,0.821428571
324110,111200,225.181888
325180,111200,19.06966082
325310,111200,563.7986676
325320,111200,512.3934949
3259A0,111200,3.31646275
326110,111200,9.027556644
326210,111200,15.04592774
326220,111200,1.003061849
423100,111200,10.31564438
423400,111200,12.89455548
423600,111200,9.026188835
423800,111200,58.02549966
423A00,111200,20.63128877
424200,111200,1.289455548
424400,111200,265.6278429
424700,111200,59.3149552
424A00,111200,843.3039283
425000,111200,10.31564438
445000,111200,1
452000,111200,2
444000,111200,3
447000,111200,21
454000,111200,1
481000,111200,1
482000,111200,29
483000,111200,15
484000,111200,195.6875
486000,111200,3
493000,111200,14.86419753
511200,111200,2.722222222
517110,111200,9.117757009
517210,111200,6.078504673
522A00,111200,5.147975078
52A000,111200,33.97663551
523900,111200,2.770034843
523A00,111200,1.846689895
5241XX,111200,158.4748858
524200,111200,11.3196347
531ORE,111200,1081.444724
532100,111200,123.4325522
532400,111200,133.3071564
533000,111200,13.57758075
541100,111200,21.08816121
541512,111200,18.92260062
54151A,111200,26.01857585
541200,111200,47.86842105
541800,111200,1.167522465
561700,111200,46.66666667
561500,111200,4.242424242
561900,111200,2.121212121
562000,111200,5.874476987
611A00,111200,1.071428571
711200,111200,1.188679245
713900,111200,0.739130435
722110,111200,10.5
722211,111200,2.1
722A00,111200,1.05
811100,111200,4.098360656
811200,111200,2.049180328
