NAICSIO,Industry Title,SCTG,Proportion,Description
1111A0,Oilseed farming,3,1,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
1111B0,Grain farming,2,1,Cereal grains (includes seed)
111200,Vegetable and melon farming,3,1,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
111300,Fruit and tree nut farming,3,1,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
111400,"Greenhouse, nursery, and floriculture production",3,1,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
111900,Other crop farming,3,1,"Agricultural products (excludes animal feed, cereal grains, and forage products)"
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1,1,Animals and fish (live)
112120,Dairy cattle and milk production,1,1,Animals and fish (live)
112A00,"Animal production, except cattle and poultry and eggs",1,1,Animals and fish (live)
112300,Poultry and egg production,1,1,Animals and fish (live)
113000,Forestry and logging,25,1,Logs and other wood in the rough
114000,"Fishing, hunting and trapping",1,1,Animals and fish (live)
115000,Support activities for agriculture and forestry,,,
211000,Oil and gas extraction,16,0.5,
211000,Oil and gas extraction,19,0.5,"Other coal and petroleum products, not elsewhere classified"
212100,Coal mining,15,1,Coal
2122A0,"Iron, gold, silver, and other metal ore mining",14,1,Metallic ores and concentrates
212230,"Copper, nickel, lead, and zinc mining",14,1,Metallic ores and concentrates
212310,Stone mining and quarrying,10,0.5,Monumental or building stone
212310,Stone mining and quarrying,12,0.5,Gravel and crushed stone (excludes dolomite and slate)
2123A0,Other nonmetallic mineral mining and quarrying,11,0.25,Natural sands
2123A0,Other nonmetallic mineral mining and quarrying,12,0.25,Gravel and crushed stone (excludes dolomite and slate)
2123A0,Other nonmetallic mineral mining and quarrying,13,0.25,"Other non-metallic minerals, not elsewhere classified "
2123A0,Other nonmetallic mineral mining and quarrying,22,0.25,Fertilizers
213111,Drilling oil and gas wells,,,
21311A,Other support activities for mining,,,
221100,"Electric power generation, transmission, and distribution",,,
221200,Natural gas distribution,,,
221300,"Water, sewage and other systems",,,
233210,Health care structures,,,
233262,Educational and vocational structures,,,
2332A0,Office and commercial structures,,,
233240,Power and communication structures,,,
2332C0,Transportation structures and highways and streets,,,
233230,Manufacturing structures,,,
2332D0,Other nonresidential structures,,,
233411,Single-family residential structures,,,
233412,Multifamily residential structures,,,
2334A0,Other residential structures,,,
230301,Nonresidential maintenance and repair,,,
230302,Residential maintenance and repair,,,
321100,Sawmills and wood preservation,25,1,Logs and other wood in the rough
321200,"Veneer, plywood, and engineered wood product manufacturing",26,1,Wood products
321910,Millwork,26,1,Wood products
3219A0,All other wood product manufacturing,26,0.333333333,Wood products
3219A0,All other wood product manufacturing,36,0.333333333,Motorized and other vehicles (includes parts)
3219A0,All other wood product manufacturing,40,0.333333333,Miscellaneous manufactured products
327100,Clay product and refractory manufacturing,31,0.5,Non-metallic mineral products
327100,Clay product and refractory manufacturing,35,0.5,"Electronic and other electrical equipment and components, and office equipment"
327200,Glass and glass product manufacturing,31,0.5,Non-metallic mineral products
327200,Glass and glass product manufacturing,39,0.5,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs"
327310,Cement manufacturing,31,1,Non-metallic mineral products
327320,Ready-mix concrete manufacturing,23,1,"Other chemical products and preparations, not elsewhere classified"
