NAICS,NAICSio
111110,1111A0
111120,1111A0
111130,1111B0
111140,1111B0
111150,1111B0
111160,1111B0
111191,1111B0
111199,1111B0
111211,111200
111219,111200
111310,111300
111320,111300
111331,111300
111332,111300
111333,111300
111334,111300
111335,111300
111336,111300
111339,111300
111411,111400
111419,111400
111421,111400
111422,111400
111910,111900
111920,111900
111930,111900
111940,111900
111991,111900
111992,111900
111998,111900
112111,1121A0
112112,1121A0
112120,112120
112130,1121A0
112210,112A00
112310,112300
112320,112300
112330,112300
112340,112300
112390,112300
112410,112A00
112420,112A00
112511,112A00
112512,112A00
112519,112A00
112910,112A00
112920,112A00
112930,112A00
112990,112A00
113110,113000
113210,113000
113310,113000
114111,114000
114112,114000
114119,114000
114210,114000
115111,115000
115112,115000
115113,115000
115114,115000
115115,115000
115116,115000
115210,115000
115310,115000
211111,211000
211112,211000
212111,212100
212112,212100
212113,212100
212210,2122A0
212221,2122A0
212222,2122A0
212231,212230
212234,212230
212291,2122A0
212299,2122A0
212311,212310
212312,212310
212313,212310
212319,212310
212321,2123A0
212322,2123A0
212324,2123A0
212325,2123A0
212391,2123A0
212392,2123A0
212393,2123A0
212399,2123A0
213111,213111
213112,21311A
213113,21311A
213114,21311A
213115,21311A
221111,221100
221112,221100
221113,221100
221119,221100
221121,221100
221122,221100
221210,221200
221310,221300
221320,221300
221330,221300
236115,233411
236116,233412
236117,233411
236118,230302
236210,233230
236220,2332A0
237110,2332B0
237120,2332B0
237130,233240
237210,2334A0
237310,233293
237990,233293
238110,2332B0
238120,233230
238130,233411
238140,2332A0
238150,2332A0
238160,233411
238170,233411
238190,233230
238210,233411
238220,233412
238290,2332B0
238310,233412
238320,233412
238330,233412
238340,2332B0
238350,233411
238390,233412
238910,233230
238990,2332B0
311111,311111
311119,311119
311211,311210
311212,311210
311213,311210
311221,311221
311222,31122A
311223,31122A
311225,311225
311230,311230
311311,311300
311312,311300
311313,311300
311320,311300
311330,311300
311340,311300
311411,311410
311412,311410
311421,311420
311422,311420
311423,311420
311511,31151A
311512,31151A
311513,311513
311514,311514
311520,311520
311611,31161A
311612,31161A
311613,31161A
311615,311615
311711,311700
311712,311700
311811,311810
311812,311810
311813,311810
311821,3118A0
311822,3118A0
311823,3118A0
311830,3118A0
311911,311910
311919,311910
311920,311920
311930,311930
311941,311940
311942,311940
311991,311990
311999,311990
312111,312110
312112,312110
312113,312110
312120,312120
312130,312130
312140,312140
312210,312200
312221,312200
312229,312200
313111,313100
313112,313100
313113,313100
313210,313200
313221,313200
313222,313200
313230,313200
313241,313200
313249,313200
313311,313300
313312,313300
313320,313300
314110,314110
314121,314120
314129,314120
314911,314900
314912,314900
314991,314900
314992,314900
314999,314900
315111,315000
315119,315000
315191,315000
315192,315000
315211,315000
315212,315000
315221,315000
315222,315000
315223,315000
315224,315000
315225,315000
315228,315000
315231,315000
315232,315000
315233,315000
315234,315000
315239,315000
315291,315000
315292,315000
315299,315000
315991,315000
315992,315000
315993,315000
315999,315000
316110,316000
316211,316000
316212,316000
316213,316000
316214,316000
316219,316000
316991,316000
316992,316000
316993,316000
316999,316000
321113,321100
321114,321100
321211,321200
321212,321200
321213,321200
321214,321200
321219,321200
321911,321910
321912,321910
321918,321910
321920,3219A0
321991,3219A0
321992,3219A0
321999,3219A0
322110,322110
322121,322120
322122,322120
322130,322130
322211,322210
322212,322210
322213,322210
322214,322210
322215,322210
322221,322220
322222,322220
322223,322220
322224,322220
322225,322220
322226,322220
322231,322230
322232,322230
322233,322230
322291,322291
322299,322299
323110,323110
323111,323110
323112,323110
323113,323110
323114,323110
323115,323110
323116,323110
323117,323110
323118,323110
323119,323110
323121,323120
323122,323120
324110,324110
324121,324121
324122,324122
324191,324190
324199,324190
325110,325110
325120,325120
325131,325130
325132,325130
325181,325180
325182,325180
325188,325180
325191,325190
325192,325190
325193,325190
325199,325190
325211,325211
325212,3252A0
325221,3252A0
325222,3252A0
325311,325310
325312,325310
325314,325310
325320,325320
325411,325411
325412,325412
325413,325413
325414,325414
325510,325510
325520,325520
325611,325610
325612,325610
325613,325610
325620,325620
325910,325910
325920,3259A0
325991,3259A0
325992,3259A0
325998,3259A0
326111,326110
326112,326110
326113,326110
326121,326120
326122,326120
326130,326130
326140,326140
326150,326150
326160,326160
326191,326190
326192,326190
326199,326190
326211,326210
326212,326210
326220,326220
326291,326290
326299,326290
327111,327100
327112,327100
327113,327100
327121,327100
327122,327100
327123,327100
327124,327100
327125,327100
327211,327200
327212,327200
327213,327200
327215,327200
