fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
23,1,------,,G,44283,G,396968,G,1681322,2667,1361,501,395,264,83,39,18,3,3,1,2,0,0,11,1
23,1,11----,,H,51,G,476,G,1772,15,11,4,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,113///,B,S,0,G,392,G,1477,10,6,4,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,1133//,B,S,0,G,392,G,1477,10,6,4,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,11331/,B,S,0,G,392,G,1477,10,6,4,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,113310,B,S,0,G,392,G,1477,10,6,4,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,115///,A,S,0,H,84,G,295,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,1152//,A,D,0,D,0,D,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,11521/,A,D,0,D,0,D,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,115210,A,D,0,D,0,D,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,1153//,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,11531/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,115310,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,22----,B,S,0,S,0,H,7587,5,2,1,0,1,1,0,0,0,0,0,0,0,0,11,1
23,1,221///,B,S,0,S,0,H,7587,5,2,1,0,1,1,0,0,0,0,0,0,0,0,11,1
23,1,2211//,B,S,0,S,0,H,7587,5,2,1,0,1,1,0,0,0,0,0,0,0,0,11,1
23,1,22111/,B,D,0,D,0,D,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,11,1
23,1,221111,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1
23,1,221118,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1
23,1,22112/,B,S,0,H,1468,H,6279,3,1,1,0,0,1,0,0,0,0,0,0,0,0,11,1
23,1,221122,B,S,0,H,1468,H,6279,3,1,1,0,0,1,0,0,0,0,0,0,0,0,11,1
23,1,23----,,G,2042,G,20286,G,100666,331,241,32,28,25,5,0,0,0,0,0,0,0,0,11,1
23,1,236///,,G,317,G,2983,G,12961,69,57,4,3,5,0,0,0,0,0,0,0,0,0,11,1
23,1,2361//,,H,167,H,1060,G,4969,55,49,2,2,2,0,0,0,0,0,0,0,0,0,11,1
23,1,23611/,,H,167,H,1060,G,4969,55,49,2,2,2,0,0,0,0,0,0,0,0,0,11,1
23,1,236115,,G,54,G,319,G,1495,16,13,2,1,0,0,0,0,0,0,0,0,0,0,11,1
23,1,236117,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1
23,1,236118,,G,86,G,533,G,2573,38,36,0,1,1,0,0,0,0,0,0,0,0,0,11,1
